L_x,L_y,N_b,gate,block,matching,sharing,orbit_index,angle_rad
4,4,8,eSWAP,5,y_0,layer,,0.49048115473465437
4,4,8,eSWAP,5,x_1,layer,,0.4691393265342394
4,4,8,eSWAP,5,x_0,layer,,0.5309019218735775
4,4,8,eSWAP,6,y_1,layer,,0.3404374195911575
4,4,8,eSWAP,6,y_0,layer,,0.35097919553870494
4,4,8,eSWAP,6,x_1,layer,,0.2756144750734184
4,4,8,eSWAP,6,x_0,layer,,0.3394088388813161
4,4,8,eSWAP,7,y_1,layer,,0.17051552155328142
4,4,8,eSWAP,7,y_0,layer,,0.2462492031763701
4,4,8,eSWAP,7,x_1,layer,,0.2951931799895062
4,4,8,eSWAP,7,x_0,layer,,0.2553034277581365
4,4,8,eSWAP,8,y_1,layer,,0.30970567280322436
4,4,8,eSWAP,8,y_0,layer,,0.26729121136309564
4,4,8,eSWAP,8,x_1,layer,,0.15260658720309817
4,4,8,eSWAP,8,x_0,layer,,0.17840852987808908
4,4,9,eSWAP,1,y_1,layer,,-3.032695804874582
4,4,9,eSWAP,1,y_0,layer,,0.1725361876733542
4,4,9,eSWAP,1,x_1,layer,,0.1428199116889486
4,4,9,eSWAP,1,x_0,layer,,1.1904939622399544
4,4,9,eSWAP,2,y_1,layer,,0.23572385234584825
4,4,9,eSWAP,2,y_0,layer,,0.3554405421626323
4,4,9,eSWAP,2,x_1,layer,,0.32716374414844074
4,4,9,eSWAP,2,x_0,layer,,0.9375904293305206
4,4,9,eSWAP,3,y_1,layer,,0.2967398767296596
4,4,9,eSWAP,3,y_0,layer,,0.456304160147718
4,4,9,eSWAP,3,x_1,layer,,0.43247687895637554
4,4,9,eSWAP,3,x_0,layer,,0.8287329582454381
4,4,9,eSWAP,4,y_1,layer,,0.34113127533508836
4,4,9,eSWAP,4,y_0,layer,,0.4868633606413528
4,4,9,eSWAP,4,x_1,layer,,0.4823002872333291
4,4,9,eSWAP,4,x_0,layer,,0.694591172317693
4,4,9,eSWAP,5,y_1,layer,,0.3622734598658508
4,4,9,eSWAP,5,y_0,layer,,0.4722957360904303
4,4,9,eSWAP,5,x_1,layer,,0.44877136683430674
4,4,9,eSWAP,5,x_0,layer,,0.5794136463281445
4,4,9,eSWAP,6,y_1,layer,,0.332106845510427
4,4,9,eSWAP,6,y_0,layer,,0.3999931720063006
4,4,9,eSWAP,6,x_1,layer,,0.37533693174294
4,4,9,eSWAP,6,x_0,layer,,0.36142333609442545
4,4,9,eSWAP,7,y_1,layer,,0.27795813407296155
4,4,9,eSWAP,7,y_0,layer,,0.2551271771894008
4,4,9,eSWAP,7,x_1,layer,,0.18534603900795643
4,4,9,eSWAP,7,x_0,layer,,0.3056975396684303
4,4,9,eSWAP,8,y_1,layer,,0.1284630148577759
4,4,9,eSWAP,8,y_0,layer,,0.21659277728378745
4,4,9,eSWAP,8,x_1,layer,,0.27641954513266054
4,4,9,eSWAP,8,x_0,layer,,0.18729578634339195
4,4,9,eSWAP,9,y_1,layer,,0.29367881960705056
4,4,9,eSWAP,9,y_0,layer,,0.23698846866754142
4,4,9,eSWAP,9,x_1,layer,,0.13389184306578228
4,4,9,eSWAP,9,x_0,layer,,0.17021425821864478
